Name,Type,Maxhp,Attack,Defence,Movespeed,Crit,Critd,Exp,Weaponinit,Upmaxhp,Upattack,Updefence,Upmovespeed,Upcrit,Upcritd,Upexp,Bone,Model,Animset,
P01_Player,Player,100,10,5,3,1000,1000,0,,10,1,1,0,10,10,0,Bone_P01_Player,Model_P01_Player,Animset_P01_Player,
M01_Monster,Monster,100,5,1,2,0,0,10,,10,1,1,0,0,0,1,Bone_M01_Monster,Model_M01_Monster,Animset_M01_Monster,
M02_Monster,Monster,110,3,2,4,0,0,11,,10,1,1,0,0,0,1,Bone_M02_Monster,Model_M02_Monster,Animset_M02_Monster,
M03_Monster,Monster,120,1,3,6,0,0,12,,10,1,1,0,0,0,1,Bone_M03_Monster,Model_M03_Monster,Animset_M03_Monster,
M04_Monster,Monster,130,1,1,2,0,0,13,,10,1,1,0,0,0,1,Bone_M04_Monster,Model_M04_Monster,Animset_M04_Monster,
M05_Monster,Monster,140,1,1,2,0,0,14,,10,1,1,0,0,0,1,Bone_M05_Monster,Model_M05_Monster,Animset_M05_Monster,
M06_Monster,Monster,150,1,1,2,0,0,15,,10,1,1,0,0,0,1,Bone_M06_Monster,Model_M06_Monster,Animset_M06_Monster,
M07_Monster,Monster,160,1,1,2,0,0,16,,10,1,1,0,0,0,1,Bone_M07_Monster,Model_M07_Monster,Animset_M07_Monster,
M08_Monster,Monster,170,1,1,2,0,0,17,,10,1,1,0,0,0,1,Bone_M08_Monster,Model_M08_Monster,Animset_M08_Monster,
M09_Monster,Monster,180,1,1,2,0,0,18,,10,1,1,0,0,0,1,Bone_M09_Monster,Model_M09_Monster,Animset_M09_Monster,
M10_Monster,Monster,190,1,1,2,0,0,19,,10,1,1,0,0,0,1,Bone_M10_Monster,Model_M10_Monster,Animset_M10_Monster,
M11_Monster,Monster,200,1,1,2,0,0,20,,10,1,1,0,0,0,1,Bone_M11_Monster,Model_M11_Monster,Animset_M11_Monster,
M12_Monster,Monster,210,1,1,2,0,0,21,,10,1,1,0,0,0,1,Bone_M12_Monster,Model_M12_Monster,Animset_M12_Monster,
M13_Monster,Monster,220,1,1,2,0,0,22,,10,1,1,0,0,0,1,Bone_M13_Monster,Model_M13_Monster,Animset_M13_Monster,
M14_Monster,Monster,230,1,1,2,0,0,23,,10,1,1,0,0,0,1,Bone_M14_Monster,Model_M14_Monster,Animset_M14_Monster,
M15_Monster,Monster,240,1,1,2,0,0,24,,10,1,1,0,0,0,1,Bone_M15_Monster,Model_M15_Monster,Animset_M15_Monster,
M16_Monster,Monster,250,1,1,2,0,0,25,,10,1,1,0,0,0,1,Bone_M16_Monster,Model_M16_Monster,Animset_M16_Monster,
M17_Monster,Monster,260,1,1,2,0,0,26,,10,1,1,0,0,0,1,Bone_M17_Monster,Model_M17_Monster,Animset_M17_Monster,
M18_Monster,Monster,270,1,1,2,0,0,27,,10,1,1,0,0,0,1,Bone_M18_Monster,Model_M18_Monster,Animset_M18_Monster,
M19_Monster,Monster,280,1,1,2,0,0,28,,10,1,1,0,0,0,1,Bone_M19_Monster,Model_M19_Monster,Animset_M19_Monster,
B01_Boss,Boss,1500,10,2,3,0,0,1000,,100,2,2,0,0,0,10,Bone_B01_Boss,Model_B01_Boss,Animset_B01_Boss,
