Name,Reqexp,Mtphp,Mtpattack,Mtpdefence,
1,100,1.1,1.1,1.1,
2,250,1.1,1.1,1.1,
3,400,1.2,1.2,1.2,
4,550,1.2,1.2,1.2,
5,700,1.25,1.25,1.25,
6,850,1.29,1.29,1.29,
7,1000,1.33,1.33,1.33,
8,1150,1.37,1.37,1.37,
9,1300,1.41,1.41,1.41,
10,1450,1.45,1.45,1.45,
11,1600,1.49,1.49,1.49,
12,1750,1.53,1.53,1.53,
13,1900,1.57,1.57,1.57,
14,2050,1.61,1.61,1.61,
15,2200,1.65,1.65,1.65,
16,2350,1.69,1.69,1.69,
17,2500,1.73,1.73,1.73,
18,2650,1.77,1.77,1.77,
19,2800,1.81,1.81,1.81,
20,2950,1.85,1.85,1.85,
21,3100,1.89,1.89,1.89,
22,3250,1.93,1.93,1.93,
23,3400,1.97,1.97,1.97,
24,3550,2.01,2.01,2.01,
25,3700,2.05,2.05,2.05,
26,3850,2.09,2.09,2.09,
27,4000,2.13,2.13,2.13,
28,4150,2.17,2.17,2.17,
29,4300,2.21,2.21,2.21,
30,4450,2.25,2.25,2.25,
31,4600,2.29,2.29,2.29,
32,4750,2.33,2.33,2.33,
33,4900,2.37,2.37,2.37,
34,5050,2.41,2.41,2.41,
35,5200,2.45,2.45,2.45,
36,5350,2.49,2.49,2.49,
37,5500,2.53,2.53,2.53,
38,5650,2.57,2.57,2.57,
39,5800,2.61,2.61,2.61,
40,5950,2.65,2.65,2.65,
41,6100,2.69,2.69,2.69,
42,6250,2.73,2.73,2.73,
43,6400,2.77,2.77,2.77,
44,6550,2.81,2.81,2.81,
45,6700,2.85,2.85,2.85,
46,6850,2.89,2.89,2.89,
47,7000,2.93,2.93,2.93,
48,7150,2.97,2.97,2.97,
49,7300,3.01,3.01,3.01,
50,999999,3.05,3.05,3.05,
